Datum|Vrijeme|Prostor*|Tema|Nastav a|Bodovi|Izvođač
5.10.2020.|10:15-11:45|O-028|Uvod u kolegij. Pojam derivacije funkcije jedne realne varijable.|p||Marija Maksimović
5.10.2020.|14:15-15:45|O-028|"Derivacije funkcije jedne realne varijable.
Pravila deriviranja"|v||Marija Maksimović
5.10.2020.|16:15-17:45|O-028|Derivacije funkcije jedne realne varijable. Pravila deriviranja|v||Matea Zubović
12.10.2020.|10:15-11:45|O-028|Pravila deriviranja. Derivacije višeg reda.|p||Marija Maksimović
12.10.2020.|14:15-15:45|O-028|Pravila deriviranja. Derivacije višeg reda.|v||Marija Maksimović
12.10.2020.|16:15-17:45|O-028|Pravila deriviranja. Derivacije višeg reda.|v||Matea Zubović
19.10.2020.|10:15-11:45|O-028|Deriviranje parametarski zadane funkcije. L'Hospitalovo pravilo.|p||Marija Maksimović
19.10.2020.|14:15-15:45|O-028|Deriviranje parametarski zadane funkcije. L'Hospitalovo pravilo.|v||Marija Maksimović
19.10.2020.|16:15-17:45|O-028|Deriviranje parametarski zadane funkcije. L'Hospitalovo pravilo.|v||Matea Zubović
26.10.2020.|10:15-11:45|O-028|Osnovni teoremi diferencijalnog računa.|p||Marija Maksimović
26.10.2020.|14:15-15:45|O-028|Diferencijalni račun.|v||Marija Maksimović
26.10.2020.|16:15-17:45|O-028|Diferencijalni račun.|v||Matea Zubović
2.11.2020.|10:15-11:45|O-028|Crtanje grafa funkcije.|p||Marija Maksimović
2.11.2020.|14:15-15:45|O-028|Crtanje grafa funkcije.|v||Marija Maksimović
2.11.2020.|16:15-17:45|O-028|Crtanje grafa funkcije.|v||Matea Zubović
9.11.2020.|10:15-11:45|O-028|Crtanje grafa funkcije.|p||Marija Maksimović
9.11.2020.|14:15-15:45|O-028|Crtanje grafa funkcije.|v||Marija Maksimović
9.11.2020.|16:15-17:45|O-028|Crtanje grafa funkcije.|v||Matea Zubović
16.11.2020.|10:15-11:45|O-028|Primitivna funkcija i neodređeni integral.|p||Marija Maksimović
16.11.2020.|14:15-15:45|O-028|1. kolokvij|v||Marija Maksimović
16.11.2020.|16:15-17:45|O-028|1. kolokvij|v||Matea Zubović
16.11.2020.|14:15-17:45|O-028|1. kolokvij|k|25|Matea Zubović
23.11.2020.|14:15-15:45|O-028|Primitivna funkcija i neodređeni integral.|v||Marija Maksimović
23.11.2020.|16:15-17:45|O-028|Primitivna funkcija i neodređeni integral.|v||Matea Zubović
30.11.2020.|10:15-11:45|O-028|Određeni integral. Računanje određenog integrala.|p||Marija Maksimović
30.11.2020.|14:15-15:45|O-028|Osnovne metode integracije. Određeni integral. Računanje određenog integrala.|v||Marija Maksimović
30.11.2020.|16:15-17:45|O-028|Osnovne metode integracije. Određeni integral. Računanje određenog integrala.|v||Matea Zubović
7.12.2020.|10:15-11:45|O-028|Primjena integrala na računanje površina i volumena.|p||Marija Maksimović
7.12.2020.|14:15-15:45|O-028|"Primjena integrala na računanje površina i
volumena."|v||Marija Maksimović
7.12.2020.|16:15-17:45|O-028|Primjena integrala na računanje površina i volumena.|v||Matea Zubović
14.12.2020.|10:15-11:45|O-028|Pojam derivacije funkcije više varijabli.|p||Marija Maksimović
14.12.2020.|14:15-15:45|O-028|Derivacije funkcije više varijabli.|v||Marija Maksimović
14.12.2020.|16:15-17:45|O-028|Derivacije funkcije više varijabli.|v||Matea Zubović
21.12.2020.|10:15-11:45|O-028|Diferencijal i parcijalne derivacije.|p||Marija Maksimović
21.12.2020.|14:15-15:45|O-028|Diferencijal i parcijalne derivacije. Gradijent|v||Marija Maksimović
21.12.2020.|16:15-17:45|O-028|"Diferencijal i parcijalne derivacije.
Gradijent"|v||Matea Zubović
11.1.2021.|10:15-11:45|O-028|Gradijent. Tangencijalna ravnina.|p||Marija Maksimović
11.1.2021.|14:15-15:45|O-028|Tangencijalna ravnina. Lokalni i uvjetni ekstremi.|v||Marija Maksimović
11.1.2021.|16:15-17:45|O-028|Tangencijalna ravnina. Lokalni i uvjetni ekstremi.|v||Matea Zubović
18.1.2021.|10:15-11:45|O-028|Lokalni i uvjetni ekstremi.|p||Marija Maksimović
18.1.2021.|14:15-15:45|O-028|2. kolokvij|v||Marija Maksimović
18.1.2021.|16:15-17:45|O-028|2. kolokvij|v||Matea Zubović
18.1.2021.|14:15-17:45|O-028|2. kolokvij|k|25|Matea Zubović
25.1.2021.|14:15-15:45|online|Vježbe na računalu|v||Marija Maksimović
25.1.2021.|16:15-17:45|online|Vježbe na računalu|v||Matea Zubović
4.2.2021.|09:00-11:00|O-028|Završni ispit (1. redovni rok)|z|30|Marija Maksimović
18.2.2021.|09:00-11:00|O-028|Završni ispit (2. redovni rok)|||Marija Maksimović
4.3.2021.|09:00-11:00|O-028|Završni ispit (1. izvanredni rok)|||Marija Maksimović
15.9.2021.|09:00-11:00|O-028|Završni ispit (2. uzvanredni rok)|||Marija Maksimović
|||||20|
