Datum|Vrijeme|Prostor|Tema|Nastava|Bodovi|Grupa|Izvođač
5.3.2021.|12:00-13:30|online|Uvod i analiza algoritama|P|||"doc. dr. sc. Marija Brkić Bakarić"
5.3.2021.|14:00-15:30|online|"Upoznavanje s integriranim razvojnim okruženjem i ponavljanje"|V|||doc. dr. sc. Marija Brkić Bakarić
12.3.2021.|12:00-13:30|S32|"Strategije za oblikovanje algoritama-1. dio"|P|||"doc. dr. sc. Marija Brkić Bakarić"
12.3.2021.|14:00-15:30|350|"Strategije za oblikovanje algoritama"|V||G1|"doc. dr. sc. Marija Brkić Bakarić"
12.3.2021.|15:45-17:15|350|"Strategije za oblikovanje algoritama"|V||G2|"doc. dr. sc. Marija Brkić Bakarić"
19.3.2021.|12:00-13:30|S32|"Strategije za oblikovanje algoritama-2. dio"|P|||"doc. dr. sc. Marija Brkić Bakarić"
19.3.2021.|14:00-15:30|350|"Strategije za oblikovanje algoritama"|V||G1|"doc. dr. sc. Marija Brkić Bakarić"
19.3.2021.|15:45-17:15|350|"Strategije za oblikovanje algoritama"|V||G2|"doc. dr. sc. Marija Brkić Bakarić"
26.3.2021.|12:00-13:30|S32|Algoritmi sortiranja|P|||"doc. dr. sc. Marija Brkić Bakarić"
26.3.2021.|14:00-15:30|350|Algoritmi sortiranja|V||G1|"doc. dr. sc. Marija Brkić Bakarić"
26.3.2021.|15:45-17:15|350|Algoritmi sortiranja|V||G2|"doc. dr. sc. Marija Brkić Bakarić"
27.3.2021.|12:00-13:30|online|"Algoritmi pretraživanja, šifriranjai sažimanja"|P|||"doc. dr. sc. Marija Brkić Bakarić"
27.3.2021.|14:00-15:30|online|"Algoritmi pretraživanja, šifriranjai sažimanja"|V|||"doc. dr. sc. Marija Brkić Bakarić"
9.4.2021.|12:00-13:30|S32|Stabla|P|||"doc. dr. sc. Marija Brkić Bakarić"
9.4.2021.|14:00-15:30|350|Stabla|V||G1|"doc. dr. sc. Marija Brkić Bakarić"
9.4.2021.|15:45-17:15|350|Stabla|V||G2|"doc. dr. sc. Marija Brkić Bakarić"
16.4.2021.|12:00-13:30|S32|UBS|P|||"doc. dr. sc. Marija Brkić Bakarić"
16.4.2021.|14:00-15:30|350|UBS|V||G1|"doc. dr. sc. Marija Brkić Bakarić"
16.4.2021.|15:45-17:15|350|UBS|V||G2|"doc. dr. sc. Marija Brkić Bakarić"
23.4.2021.|12:00-13:30|online|Priprema za 1. kviz|P|||"doc. dr. sc. Marija Brkić Bakarić"
23.4.2021.|14:00-15:30|350|Gomile|V||G1|"doc. dr. sc. Marija Brkić Bakarić"
23.4.2021.|15:45-17:15|350|Gomile|V||G2|"doc. dr. sc. Marija Brkić Bakarić"
30.4.2021.|14:00-15:30|350|1. kviz|P+V|||doc. dr. sc. Marija Brkić Bakarić
30.4.2021.|14:00-15:30|350|1. kviz|KV|20||doc. dr. sc. Marija Brkić Bakarić
7.5.2021.|12:00-13:30|online|Grafovi|P|||"doc. dr. sc. Marija Brkić Bakarić"
7.5.2021.|14:00-15:30|online|Grafovi|V|||"doc. dr. sc. Marija Brkić Bakarić"
14.5.2021.|12:00-13:30|online|Algoritmi povezanosti|P|||"doc. dr. sc. Marija Brkić Bakarić"
14.5.2021.|14:00-15:30|online|Algoritmi povezanosti|V|||"doc. dr. sc. Marija Brkić Bakarić"
21.5.2021.|12:00-13:30|S32|"Algoritmi minimalnog razapinjućeg stabla i algoritmi najkraćeg puta"|P|||doc. dr. sc. Marija Brkić Bakarić
21.5.2021.|14:00-15:30|350|"Algoritmi minimalnog razapinjućeg stabla i algoritmi najkraćeg puta"|V||G1|doc. dr. sc. Marija Brkić Bakarić
21.5.2021.|15:45-17:15|350|"Algoritmi minimalnog razapinjućeg stabla i algoritmi najkraćeg puta"|V||G2|doc. dr. sc. Marija Brkić Bakarić
28.5.2021.|12:00-13:30|S32|AVL i CC stabla|P|||"doc. dr. sc. Marija Brkić Bakarić"
28.5.2021.|14:00-15:30|350|STL|V||G1|"doc. dr. sc. Marija Brkić Bakarić"
28.5.2021.|15:45-17:15|350|STL|V||G2|"doc. dr. sc. Marija Brkić Bakarić"
4.6.2021.|12:00-13:30|online|B-stabla|P|||"doc. dr. sc. Marija Brkić Bakarić"
4.6.2021.|14:00-15:30|350|Kolokvij|V|||doc. dr. sc. Marija Brkić Bakarić
4.6.2021.|14:00-15:30|350|Kolokvij|K|30||doc. dr. sc. Marija Brkić Bakarić
11.6.2021.|14:00-15:30|350|2. kviz|P+V|||doc. dr. sc. Marija Brkić Bakarić
11.6.2021.|14:00-15:30|350|2. kviz|KV|20||doc. dr. sc. Marija Brkić Bakarić
23.6.2021.|14:00-15:30|350/online|Završni ispit (1. redovni rok)|Z|30||doc. dr. sc. Marija Brkić Bakarić
7.7.2021.|14:00-15:30|350/online|Završni ispit (2. redovni rok)|Z|||doc. dr. sc. Marija Brkić Bakarić
9.9.2021.|14:00-15:30|350/online|Završni ispit (1. izvanredni rok)|Z|||doc. dr. sc. Marija Brkić Bakarić
16.9.2021.|14:00-15:30|350/online|Završni ispit (2. izvanredni rok)|Z|||doc. dr. sc. Marija Brkić Bakarić
