Datum|Vrijeme|Prostor|Tema|Nastava|Bodovi|Grupe|Izvođač
05.03.2021|08:30-10:00|O-028|Uvod u modeliranje podataka, faze, generacije metoda|P|||Prof. dr. sc. Mile Pavlić
05.03.2021|08:30-10:00|O-028|Uvod, metodika MIRIS|P|||Prof. dr. sc. Mile Pavlić
12.03.2021|08:30-10:00|O-028|"Modeli podataka, Osnovni pojmovi o modeliranju podataka"|P|||Prof. dr. sc. Mile Pavlić
12.03.2021|08:30-10:00|O-028|"Apstrakcija podataka, Uzorkovanje, tip entiteta, veza, tip veze"|P|||Prof. dr. sc. Mile Pavlić
19.03.2021|08:30-10:00|O-028|"Brojnost tipa veze, GG, DG, klasifikacija, uloga TV, Ograničenja u modelu podataka"|P|||Prof. dr. sc. Mile Pavlić
19.03.2021|08:30-10:00|O-028|Atribut, uloga atributa, brojnost atributa, ključ TE|P|||Prof. dr. sc. Mile Pavlić
26.03.2021|08:30-10:00|O-028|"Klasifikacija, Slabi tip entiteta, E & I zavisnost, Povratna veza, Agregacija"|P|||Prof. dr. sc. Mile Pavlić
26.03.2021|10:15-13:30|O-028|Modeliranje podataka – osnovni koncepti EV|V|||Doc. dr. sc. Martina Ašenbrener Katić
27.03.2021|08:30-10:00|online|Organizacija, Osnovni pojmovi teorije organizacije|P|||Prof. dr. sc. Mile Pavlić
27.03.2021|10:15-13:30|online|"Analiza podataka i sadržaja dokumentacije organizacijskog sustava"|V|||Doc. dr. sc. Martina Ašenbrener Katić
09.04.2021|10:15-13:30|O-350|1. kolokvij|V|||Doc. dr. sc. Martina Ašenbrener Katić
09.04.2021|10:15-13:30|O-350|1. kolokvij|K|25||Doc. dr. sc. Martina Ašenbrener Katić
09.04.2021|10:15-13:30|O-028|Modeliranje podataka – slabi tip entiteta, agregacija|V|||Doc. dr. sc. Martina Ašenbrener Katić
16.04.2021|10:15-13:30|O-028|Modeliranje podataka – slabi tip entiteta, agregacija|V|||Doc. dr. sc. Martina Ašenbrener Katić
16.04.2021|10:15-13:30|O-028|Modeliranje podataka na primjerima dokumenata|V|||Doc. dr. sc. Martina Ašenbrener Katić
23.04.2021|08:30-10:00|online|"Relacijska shema baze podataka Prevođenje EV u relacijsku shemu"|P|||Prof. dr. sc. Mile Pavlić
23.04.2021|10:15-13:30|O-028|"Relacijska shema baze podataka Prevođenje EV u relacijsku shemu"|V|||Doc. dr. sc. Martina Ašenbrener Katić
30.04.2021|08:30-10:00|O-028|Generalizacija i specijalizacija|P|||Prof. dr. sc. Mile Pavlić
30.04.2021|08:30-10:00|O-028|Meta modeli, Normalizacija|P|||Prof. dr. sc. Mile Pavlić
07.05.2021|10:15-13:30|O-028|Modeliranje podataka na primjerima dokumenata|V|||Doc. dr. sc. Martina Ašenbrener Katić
07.05.2021|10:15-13:30|O-028|Modeliranje podataka na primjerima dokumenata|V|||Doc. dr. sc. Martina Ašenbrener Katić
14.05.2021|08:30-10:00|O-028|Proces konceptualnog oblikovanja podataka|P|||Prof. dr. sc. Mile Pavlić
14.05.2021|08:30-10:00|online|Proces konceptualnog oblikovanja podataka|P|||Prof. dr. sc. Mile Pavlić
21.05.2021|10:15-13:30|O-350|2. kolokvij|V|||Doc. dr. sc. Martina Ašenbrener Katić
21.05.2021|10:15-13:30|O-350|2. kolokvij|K|20||Doc. dr. sc. Martina Ašenbrener Katić
21.05.2021|10:15-13:30|O-028|Modeliranje podataka na primjerima dokumenata|V|||Doc. dr. sc. Martina Ašenbrener Katić
28.05.2021|10:15-13:30|O-028|Modeliranje podataka na primjerima dokumenata|V|||Doc. dr. sc. Martina Ašenbrener Katić
28.05.2021|10:15-13:30|O-028|Modeliranje podataka na složenijim primjerima|V|||Doc. dr. sc. Martina Ašenbrener Katić
04.06.2021|08:30-10:00|online|Konzultacije za završni ispit|P|||Prof. dr. sc. Mile Pavlić
04.06.2021|10:15-13:30|online|Konzultacije za završni ispit|V|||Doc. dr. sc. Martina Ašenbrener Katić
11.06.2021|08:30-10:00|O-028|Analiza studentskih rezultata|P|||Prof. dr. sc. Mile Pavlić
11.06.2021|10:15-13:30|O-028|Nadoknada kolokvija|V|||Doc. dr. sc. Martina Ašenbrener Katić
11.06.2021|10:15-13:30|O-028|Nadoknada kolokvija|PA|||Doc. dr. sc. Martina Ašenbrener Katić
|00:00-23:59|online|Razni zadaci tijekom nastave|A|15||Prof. dr. sc. Mile Pavlić, Doc. dr. sc. Martina Ašenbrener Katić
29.06.2021.|10:15-13:30|online|Završni ispit (1. redovni rok)|Z|40||Prof. dr. sc. Mile Pavlić, Doc. dr. sc. Martina Ašenbrener Katić
13.07.2021.|10:15-13:30|online|Završni ispit (2. redovni rok)|Z|||Prof. dr. sc. Mile Pavlić, Doc. dr. sc. Martina Ašenbrener Katić
01.09.2020.|10:15-13:30|online|Završni ispit (1. izvanredni rok)|Z|||Prof. dr. sc. Mile Pavlić, Doc. dr. sc. Martina Ašenbrener Katić
13.09.2021.|10:15-13:30|online|Završni ispit (2. izvanredni rok)|Z|||Prof. dr. sc. Mile Pavlić, Doc. dr. sc. Martina Ašenbrener Katić
