Datum|Vrijeme|Prostor||Tema|||Nastava|Bodovi|Izvođač
7.10.2020.|10:00-12:00|028||Uvod , opće informacije, Automati: DKA, NKA|||p||Dr.sc. Sanda Martinčić-Ipšić
7.10.2020.|12:00-14:00|028||Automati NKA, pretvaranje NKA-DKA, minimizacija|||p||Dr.sc. Sanda Martinčić-Ipšić
14.10.2020.|10:00-12:00|028||Automati: e-NKA, pretvaranje e-NKA-NKA|||p||Dr.sc. Sanda Martinčić-Ipšić
14.10.2020.|12:00-14:00|028||Automati: Automati: DKA, NKA, pretvaranje NKA-DKA, minimizacija (rok 1DZ 21.10.2020.)|||v||Karlo Babić
21.10.2020.|12:00-14:00|028||Automati: Automati: DKA, NKA, pretvaranje NKA-DKA, minimizacija (rok 1DZ 21.10.2020.)|||dz|5|Karlo Babić
21.10.2020.|10:00-12:00|028||Moore, Mealy, pretvaranje|||p||Dr.sc. Sanda Martinčić-Ipšić
21.10.2020.|12:00-14:00|028||Automati: e-NKA, pretvaranje e-NKA-NKA|||v||Karlo Babić
28.10.2020.|10:00-12:00|028||Regularni izrazi, pretvaranje u e-NKA|||p||Dr.sc. Sanda Martinčić-Ipšić
28.10.2020.|12:00-14:00|028||Moore, Mealy, pretvaranje, Regularni izrazi|||v||Karlo Babić
4.11.2020.||online||Regularne definicije, svojstvo napuhavanja|||p||Dr.sc. Sanda Martinčić-Ipšić
4.11.2020.|12:00-14:00|028||Regularni izrazi, pretvaranje u e-NKA|||v||Karlo Babić
11.11.2020.|10:00-12:00|028||Gramatike, pojednostavljenje gramatika|||p||Dr.sc. Sanda Martinčić-Ipšić
11.11.2020.|12:00-14:00|028||Svojstvo napuhavanja,  Gramatike, pojednostavljenje gramatika (rok 2DZ 18.11.2020.)|||v||Karlo Babić
18.11.2020.|12:00-14:00|028||Svojstvo napuhavanja,  Gramatike, pojednostavljenje gramatika (rok 2DZ 18.11.2020.)|||dz|5|Karlo Babić
20.11.2020.|13:00-15:00|online||CNO, GNO; Parseri|||p||Dr.sc. Sanda Martinčić-Ipšić
20.11.2020.|15:00-17:00|online||CNO, GNO, Parseri|||v||Karlo Babić
25.11.2020.|10:00-12:00|028||1. Kolokvij|||p||
25.11.2020.|10:00-12:00|028||1. Kolokvij|||k|25|
2.12.2020.|10:00-12:00|028||Potisni automat|||p||Dr.sc. Sanda Martinčić-Ipšić
2.12.2020.|12:00-14:00|028||Potisni automat|||v||Karlo Babić
9.12.2020.|10:00-12:00|028||Kontekstno neovisni jezici|||p||Dr.sc. Sanda Martinčić-Ipšić
9.12.2020.|12:00-14:00|028||Potisni automati 2 (rok 3DZ 16.12.2020.)|||v||Karlo Babić
16.12.2020.|12:00-14:00|028||Potisni automati 2 (rok 3DZ 16.12.2020.)|||dz|5|Karlo Babić
16.12.2020.|10:00-12:00|028||Turingov stroj, NLP|||p||Dr.sc. Sanda Martinčić-Ipšić
16.12.2020.|12:00-14:00|028||Kontekstno neovisni jezici|||v||Karlo Babić
23.12.2020.|10:00-12:00|028||Turingov stroj 2|||p||Dr.sc. Sanda Martinčić-Ipšić
23.12.2020.|12:00-14:00|028||Turingov stroj (rok 4DZ 20.01.2021.)|||v||Karlo Babić
20.01.2021.|12:00-14:00|028||Turingov stroj (rok 4DZ 20.01.2021.)|||dz|5|Karlo Babić
13.1.2021.|10:00-12:00|028||Rekurzivno prebrojivi jezici, Chomskyeva hijerarhija jezika|||p||Dr.sc. Sanda Martinčić-Ipšić
13.1.2021.|12:00-14:00|028||Rekurzivno prebrojivi jezici|||v||Karlo Babić
20.01.2021.|10:00-12:00|028||2. Kolokvij|||p||
20.01.2021.|10:00-12:00|028||2. Kolokvij|||k|25|
27.1.2021.|10:00-12:00|028||Prostorna i vremenska složenost|||p||Dr.sc. Sanda Martinčić-Ipšić
27.1.2021.|12:00-14:00|028||Složenost|||v||Dr.sc. Sanda Martinčić-Ipšić
11.02.2021.|10:00-12:00|028||Završni ispit (1. redovni rok)|||z|30|Dr.sc. Sanda Martinčić-Ipšić
25.02.2021.|10:00-12:00|028||Završni ispit (2. redovni rok)|||z||Dr.sc. Sanda Martinčić-Ipšić
11.03.2021.|10:00-12:00|028||Završni ispit (1. izvanredni rok)|||z||Dr.sc. Sanda Martinčić-Ipšić
09.09.2021.|10:00-12:00|028||Završni ispit (2. izvanredni rok)|||z||Dr.sc. Sanda Martinčić-Ipšić
